Wed Dec  8 01:20:07 EST 2021,inference-resnet152-dog2-job-0,job_config_inference-resnet152-dog2.yaml,3
Wed Dec  8 01:20:11 EST 2021,single-node-resnet152-cifar10-epochs1-batchsize16-job-0,job_config_single-node-resnet152-cifar10-epochs1-batchsize16.yaml,2
Wed Dec  8 01:20:13 EST 2021,inference-vgg19-cat2-job-0,job_config_inference-vgg19-cat2.yaml,4
Wed Dec  8 01:20:17 EST 2021,inference-resnet18-goose3-job-0,job_config_inference-resnet18-goose3.yaml,1
Wed Dec  8 01:20:18 EST 2021,inference-vgg16-cat4-job-0,job_config_inference-vgg16-cat4.yaml,2
Wed Dec  8 01:20:21 EST 2021,inference-vgg11-tigershark2-job-0,job_config_inference-vgg11-tigershark2.yaml,0
Wed Dec  8 01:20:21 EST 2021,inference-densenet169-goose5-job-0,job_config_inference-densenet169-goose5.yaml,5
Wed Dec  8 01:20:26 EST 2021,inference-resnet101-cat3-job-0,job_config_inference-resnet101-cat3.yaml,5
Wed Dec  8 01:20:32 EST 2021,single-node-resnet18-cifar10-epochs1-batchsize8-job-0,job_config_single-node-resnet18-cifar10-epochs1-batchsize8.yaml,0
Wed Dec  8 01:20:32 EST 2021,single-node-densenet169-cifar10-epochs1-batchsize16-job-0,job_config_single-node-densenet169-cifar10-epochs1-batchsize16.yaml,5
Wed Dec  8 01:20:37 EST 2021,inference-vgg13-dog4-job-0,job_config_inference-vgg13-dog4.yaml,3
Wed Dec  8 01:20:41 EST 2021,inference-resnet34-snail1-job-0,job_config_inference-resnet34-snail1.yaml,3
Wed Dec  8 01:20:44 EST 2021,single-node-vgg16-cifar10-epochs1-batchsize16-job-0,job_config_single-node-vgg16-cifar10-epochs1-batchsize16.yaml,5
Wed Dec  8 01:20:49 EST 2021,inference-resnet34-cat2-job-0,job_config_inference-resnet34-cat2.yaml,2
Wed Dec  8 01:20:52 EST 2021,inference-densenet169-goose3-job-0,job_config_inference-densenet169-goose3.yaml,1
Wed Dec  8 01:20:53 EST 2021,inference-resnet50-cat3-job-0,job_config_inference-resnet50-cat3.yaml,1
